map_file_name,paths_file_name,adv_agent_id,adv_damage_steps,ms_original_path,ms_mdr_path,mdr_expanded_nodes,mdr_visited_nodes,mdr_run_time_seconds,comment
data/Room1_56x55.txt,000.path,1,1,9,10,8,43,0.8937097000000005,
data/Room1_56x55.txt,000.path,1,2,9,11,148,750,2.7400812000000005,
data/Room1_56x55.txt,000.path,2,1,9,10,8,43,0.9261719999999993,
data/Room1_56x55.txt,000.path,2,2,9,11,148,751,2.7926792000000003,
data/Room1_56x55.txt,000.path,3,1,9,10,9,51,0.9441059000000003,
data/Room1_56x55.txt,000.path,3,2,9,11,182,975,2.8737527,
data/Room1_56x55.txt,000.path,4,1,9,9,9,49,0.9159562999999995,
data/Room1_56x55.txt,000.path,4,2,9,9,201,1064,3.174476799999999,
data/Room1_56x55.txt,001.path,2,1,9,10,8,43,0.9572385000000008,
data/Room1_56x55.txt,001.path,2,2,9,11,148,751,2.822881500000001,
data/Room1_56x55.txt,001.path,4,1,9,9,9,49,0.8724672,
data/Room1_56x55.txt,001.path,4,2,9,9,201,1064,3.1018229,
data/Room1_56x55.txt,001.path,1,1,9,10,8,43,0.9434638,
data/Room1_56x55.txt,001.path,1,2,9,11,148,750,2.780815799999999,
data/Room1_56x55.txt,001.path,3,1,9,10,9,51,0.9214120000000001,
data/Room1_56x55.txt,001.path,3,2,9,11,182,975,2.8812587999999995,
data/Room1_56x55.txt,002.path,4,1,9,9,9,49,0.9663267999999992,
data/Room1_56x55.txt,002.path,4,2,9,9,201,1064,3.1334709000000007,
data/Room1_56x55.txt,002.path,3,1,9,10,9,51,0.9449874000000005,
data/Room1_56x55.txt,002.path,3,2,9,11,182,975,2.950445799999999,
data/Room1_56x55.txt,002.path,2,1,9,10,8,43,0.9146555999999979,
data/Room1_56x55.txt,002.path,2,2,9,11,148,751,2.7569671999999983,
data/Room1_56x55.txt,002.path,1,1,9,10,8,43,1.0852398,
data/Room1_56x55.txt,002.path,1,2,9,11,148,750,2.6439549999999983,
data/Room1_56x55.txt,003.path,1,1,9,10,8,43,0.8945989000000019,
data/Room1_56x55.txt,003.path,1,2,9,11,148,750,2.8140797000000006,
data/Room1_56x55.txt,003.path,2,1,9,10,8,43,1.0075354999999995,
data/Room1_56x55.txt,003.path,2,2,9,11,148,751,2.824582200000002,
data/Room1_56x55.txt,003.path,3,1,9,10,9,51,0.8760338999999995,
data/Room1_56x55.txt,003.path,3,2,9,11,182,975,3.0830115000000013,
data/Room1_56x55.txt,003.path,4,1,9,9,9,49,0.9374115000000032,
data/Room1_56x55.txt,003.path,4,2,9,9,201,1064,3.3595441999999984,
data/Room1_56x55.txt,004.path,2,1,9,10,8,43,0.8840239999999966,
data/Room1_56x55.txt,004.path,2,2,9,11,148,751,2.797320799999998,
data/Room1_56x55.txt,004.path,1,1,9,10,8,43,0.9347072000000018,
data/Room1_56x55.txt,004.path,1,2,9,11,148,750,3.0194113000000016,
data/Room1_56x55.txt,004.path,3,1,9,10,9,51,0.907749299999999,
data/Room1_56x55.txt,004.path,3,2,9,11,182,975,2.906953999999999,
data/Room1_56x55.txt,004.path,4,1,9,9,9,49,1.006453399999998,
